baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
semantic_proxy,250,9,5,186.36789999436587,0.7454715999774635,39.69190000498202,0.03175352000398561,13.360900004045106,0.053443600016180426,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,0,5,384.19349999458063,0.7683869999891613,98.19210000569001,0.039276840002276006,25.408000001334585,0.05081600000266917,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,1,5,371.8163000012282,0.7436326000024565,82.71080000849906,0.03308432000339963,24.62809999997262,0.04925619999994524,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,2,5,384.34840000991244,0.7686968000198249,95.10550000413787,0.038042200001655146,28.069400010281242,0.056138800020562485,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,3,5,363.4735000086948,0.7269470000173897,87.76330000546295,0.03510532000218518,24.561400001402944,0.04912280000280589,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,4,5,356.65279999375343,0.7133055999875069,78.98910000221804,0.031595640000887215,25.79830000468064,0.05159660000936128,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,5,5,403.30449999601115,0.8066089999920223,93.29020000586752,0.037316080002347006,27.460299999802373,0.05492059999960475,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,6,5,399.3573000043398,0.7987146000086796,86.01820000330918,0.03440728000132367,26.758100008009933,0.053516200016019866,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,7,5,374.5848999969894,0.7491697999939788,86.10060000501107,0.03444024000200443,25.182900004438125,0.05036580000887625,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,8,5,374.3006000004243,0.7486012000008486,84.56360000127461,0.03382544000050984,24.716200001421385,0.04943240000284277,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,500,9,5,361.43900000024587,0.7228780000004917,87.76299998862669,0.03510519999545068,31.13459999440238,0.06226919998880476,500,500,500,2680,2680,2680,1,1,2463428,702091,186858,1,1,1,Component payload replay via ApplyObstacleBatchJson
