baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,component_names_reused_during_pose,component_names_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
legacy_semantic_proxy,10,7,5,6.110000002081506,0.6110000002081506,0.8087999885901809,0.016175999771803617,0.1697999978205189,0.01697999978205189,0.000300002284348011,3.00002284348011e-05,0.9855999960564077,0.09855999960564077,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,8,5,4.85149999440182,0.485149999440182,0.607599999057129,0.01215199998114258,0.16280000272672623,0.016280000272672623,0.000200001522898674,2.00001522898674e-05,1.0424000065540895,0.10424000065540895,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,9,5,4.417100004502572,0.4417100004502572,0.5402999959187582,0.010805999918375164,0.10179998935200274,0.010179998935200274,0.000100000761449337,1.00000761449337e-05,0.5336000031093135,0.053360000310931355,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,0,5,28.687399986665696,0.5737479997333139,3.820500001893379,0.015282000007573515,0.7172000041464344,0.014344000082928687,0.000500003807246685,1.00000761449337e-05,4.615799989551306,0.09231599979102612,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,1,5,30.656799994176254,0.6131359998835251,3.1350000062957406,0.012540000025182962,0.457499991171062,0.00914999982342124,0.000200001522898674,4.00003045797348e-06,4.56329999724403,0.0912659999448806,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,2,5,29.400400002487004,0.5880080000497401,3.4207999997306615,0.013683199998922646,0.6711000023642555,0.01342200004728511,0.00039998849388211966,7.999769877642393e-06,4.318000006605871,0.08636000013211742,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,3,5,23.916399994050153,0.47832799988100305,2.7716999902622774,0.01108679996104911,0.4521999944699928,0.009043999889399856,0.0004999892553314567,9.999785106629133e-06,2.8254000062588602,0.056508000125177205,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,4,5,26.121400005649775,0.5224280001129955,2.9229999927338213,0.011691999970935285,0.44010000419802964,0.008802000083960593,0.000300002284348011,6.00004568696022e-06,3.078800000366755,0.0615760000073351,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,5,5,25.90000000782311,0.5180000001564622,3.482400003122166,0.013929600012488663,0.6699000077787787,0.013398000155575573,0.000300002284348011,6.00004568696022e-06,4.278299995348789,0.08556599990697578,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,6,5,28.113499996834435,0.5622699999366887,3.6382999969646335,0.014553199987858534,0.6531999970320612,0.013063999940641224,0.000400003045797348,8.00006091594696e-06,3.983699993113987,0.07967399986227974,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,7,5,28.563500003656372,0.5712700000731274,3.866700004437007,0.015466800017748028,0.6870999932289124,0.013741999864578247,0.0004999892553314567,9.999785106629133e-06,4.547400007140823,0.09094800014281645,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,8,5,31.456800003070384,0.6291360000614077,3.7035999994259328,0.014814399997703731,0.6716000061715022,0.013432000123430043,0.000400003045797348,8.00006091594696e-06,4.531300000962801,0.09062600001925603,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,50,9,5,31.115000005229376,0.6223000001045875,2.82320000405889,0.01129280001623556,0.4862000059802085,0.00972400011960417,0.000200001522898674,4.00003045797348e-06,4.412499998579733,0.08824999997159466,50,218,218,218,218,218,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,100,0,5,60.09359999734443,0.6009359999734443,7.347599996137433,0.014695199992274866,1.3292999938130379,0.013292999938130379,0.000500003807246685,5.00003807246685e-06,8.992799994302914,0.08992799994302914,100,436,436,436,436,436,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,100,1,5,50.74969999259338,0.5074969999259338,6.6980999981751665,0.013396199996350333,1.1873999901581556,0.011873999901581556,0.000200001522898674,2.00001522898674e-06,7.48869999370072,0.0748869999370072,100,436,436,436,436,436,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,100,2,5,43.793100005132146,0.43793100005132146,4.869600001256913,0.009739200002513826,1.2500000011641532,0.012500000011641532,0.000400003045797348,4.00003045797348e-06,6.379500002367422,0.06379500002367422,100,436,436,436,436,436,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
